"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\.prettierrc.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\next.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\package-lock.json", "JSON", 0, 0, 0, 0, 4639, 0, 0, 0, 0, 1, 4640
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\package.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\aqua-cat.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\black-cat.svg", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\blood-bones.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\blood-moon-cat.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\bones.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\crescent-moon.svg", "XML", 0, 0, 0, 0, 0, 0, 810, 0, 0, 1, 811
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\images\gold-moon-cat.svg", "XML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\component-props\footerProps.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 2, 74
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\component-props\headerProps.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 2, 60
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\component-props\mainProps.ts", "TypeScript", 0, 0, 0, 0, 0, 153, 0, 0, 0, 2, 155
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\component-props\navbarProps.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\component-props\propsIndex.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\CardsSection.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 5, 82
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 158, 0, 0, 0, 0, 1, 11, 170
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\FooterContentDickinson.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\FooterContentShakespeare.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 74
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\FullPoem.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 1, 9, 98
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 1, 9, 67
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\LoadingImage.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Main.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 2, 13, 116
